file_name,total_time,total_timeQ1,total_timeQ3,total_timeQ5,total_timeQ10
RC_N30_R100_H100_h20_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no2,560.5,27.25,3.37,0.7,0.27
RC_N30_R100_H100_h20_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no1,26.7,11.36,2.16,0.84,0.38
RC_N30_R100_H100_h80_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no1,0.84,0.27,0.13,0.06,0.03
RC_N30_R100_H100_h60_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no1,24.25,7.41,1.99,1.3,0.69
RC_N30_R100_H100_h40_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no1,21.18,7.45,2.23,0.96,0.29
RC_N30_R100_H100_h80_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no3,1.15,0.29,0.15,0.1,0.04
RC_N30_R100_H100_h40_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no2,28,21.27,2.56,2.33,0.43
RC_N30_R100_H100_h80_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no4,0.76,0.22,0.13,0.05,0.03
RC_N30_R100_H100_h40_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no5,39.44,9.4,3.08,0.57,0.57
RC_N30_R100_H100_h80_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no5,0.82,0.34,0.13,0.1,0.04
RC_N30_R100_H100_h40_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no4,140.1,16.32,1.84,1.88,0.78
RC_N30_R100_H100_h80_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no2,0.61,0.22,0.1,0.04,0.03
RC_N30_R100_H100_h40_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no3,15.22,2.42,0.9,0.3,0.13
average,87.374,10.66816667,2.520666667,1.2225,0.3435
